Order ID,Product ID,Quantity Ordered,Price Each,Date,Purchase Address
162358,8,1,300,90,"444 12th St, New York City, NY 10001"
162541,5,2,2.99,90,"672 2nd St, Atlanta, GA 30301"
165007,3,1,379.99,90,"389 Willow St, New York City, NY 10001"
165622,12,1,14.95,90,"65 Madison St, Boston, MA 02215"
166250,12,1,14.95,90,"159 Walnut St, Los Angeles, CA 90001"
166309,4,1,3.84,90,"2 Church St, Seattle, WA 98101"
166567,3,1,379.99,90,"937 Cedar St, New York City, NY 10001"
167231,5,1,2.99,90,"689 Hill St, San Francisco, CA 94016"
167813,1,1,389.99,90,"840 11th St, Seattle, WA 98101"
168905,15,1,11.95,90,"241 Spruce St, Boston, MA 02215"
168905,14,1,999.99,90,"241 Spruce St, Boston, MA 02215"
168990,17,1,11.99,90,"790 10th St, Boston, MA 02215"
169177,13,1,1700,90,"220 1st St, New York City, NY 10001"
169191,2,1,149.99,90,"310 Cherry St, Los Angeles, CA 90001"
174575,4,1,3.84,90,"969 Adams St, Boston, MA 02215"
174959,7,1,99.99,90,"288 Lincoln St, New York City, NY 10001"
175769,7,1,99.99,90,"974 13th St, New York City, NY 10001"
175951,10,1,600.0,90,"469 Walnut St, Dallas, TX 75001"
176558,15,2,11.95,108,"917 1st St, Dallas, TX 75001"
176559,7,1,99.99,96,"682 Chestnut St, Boston, MA 02215"
176560,9,1,600,101,"669 Spruce St, Los Angeles, CA 90001"
176560,17,1,11.99,101,"669 Spruce St, Los Angeles, CA 90001"
176561,17,1,11.99,119,"333 8th St, Los Angeles, CA 90001"
176562,15,1,11.95,118,"381 Wilson St, San Francisco, CA 94016"
176563,7,1,99.99,91,"668 Center St, Seattle, WA 98101"
176564,15,1,11.95,101,"790 Ridge St, Atlanta, GA 30301"
176565,13,1,1700,113,"915 Willow St, San Francisco, CA 94016"
176566,17,1,11.99,97,"83 7th St, Boston, MA 02215"
176567,9,1,600,107,"444 7th St, Los Angeles, CA 90001"
176568,12,1,14.95,104,"438 Elm St, Seattle, WA 98101"
176569,1,1,389.99,105,"657 Hill St, Dallas, TX 75001"
176570,4,1,3.84,111,"186 12th St, Dallas, TX 75001"
176571,12,1,14.95,108,"253 Johnson St, Atlanta, GA 30301"
176572,6,1,150,93,"149 Dogwood St, New York City, NY 10001"
176573,15,1,11.95,116,"214 Chestnut St, San Francisco, CA 94016"
176574,9,1,600,92,"20 Hill St, Los Angeles, CA 90001"
176574,15,1,11.95,92,"20 Hill St, Los Angeles, CA 90001"
176575,5,1,2.99,116,"433 Hill St, New York City, NY 10001"
176576,6,1,150,117,"771 Ridge St, Los Angeles, CA 90001"
176577,6,1,150,93,"260 Spruce St, Dallas, TX 75001"
176578,6,1,150,98,"513 Church St, Boston, MA 02215"
176579,4,1,3.84,100,"886 Jefferson St, New York City, NY 10001"
176580,15,1,11.95,94,"886 Willow St, Los Angeles, CA 90001"
176581,18,1,700,98,"84 Jackson St, Boston, MA 02215"
176582,7,1,99.99,116,"178 Lincoln St, Atlanta, GA 30301"
176583,5,2,2.99,109,"146 Jackson St, Portland, OR 97035"
176584,8,1,300,113,"936 Church St, San Francisco, CA 94016"
176585,7,1,99.99,96,"823 Highland St, Boston, MA 02215"
176585,7,1,99.99,96,"823 Highland St, Boston, MA 02215"
176586,5,2,2.99,99,"365 Center St, San Francisco, CA 94016"
176586,9,1,600,99,"365 Center St, San Francisco, CA 94016"
176587,2,1,149.99,118,"557 5th St, Los Angeles, CA 90001"
176588,0,1,109.99,91,"765 Cherry St, Seattle, WA 98101"
176589,12,1,14.95,93,"846 Highland St, Atlanta, GA 30301"
176590,9,1,600,100,"873 6th St, New York City, NY 10001"
176591,6,1,150,110,"600 Maple St, Austin, TX 73301"
176592,15,1,11.95,116,"352 4th St, Los Angeles, CA 90001"
176593,12,2,14.95,104,"906 7th St, Portland, OR 97035"
176594,17,1,11.99,106,"63 Maple St, San Francisco, CA 94016"
176595,17,3,11.99,91,"383 6th St, Los Angeles, CA 90001"
176596,6,1,150,116,"572 Meadow St, Dallas, TX 75001"
176597,15,1,11.95,108,"681 11th St, San Francisco, CA 94016"
176598,5,2,2.99,110,"294 Park St, San Francisco, CA 94016"
176599,12,1,14.95,100,"279 Maple St, New York City, NY 10001"
