Order ID,Product ID,Quantity Ordered,Price Each,Date,Purchase Address
223710,7,1,99.99,212,"882 Lake St, San Francisco, CA 94016"
225541,1,1,389.99,212,"480 Spruce St, Los Angeles, CA 90001"
225658,15,1,11.95,212,"592 Forest St, Los Angeles, CA 90001"
227115,15,1,11.95,212,"501 Jefferson St, San Francisco, CA 94016"
227521,5,2,2.99,212,"57 8th St, New York City, NY 10001"
227521,17,1,11.99,212,"57 8th St, New York City, NY 10001"
227732,6,1,150,212,"146 Lake St, Boston, MA 02215"
229692,12,1,14.95,212,"10 12th St, Los Angeles, CA 90001"
229700,5,1,2.99,212,"27 Lakeview St, San Francisco, CA 94016"
230496,9,1,600,212,"402 7th St, Portland, ME 04101"
230602,7,1,99.99,212,"881 Jackson St, Los Angeles, CA 90001"
231532,12,1,14.95,212,"523 Willow St, Los Angeles, CA 90001"
232119,12,1,14.95,212,"210 Walnut St, Los Angeles, CA 90001"
232795,18,1,700,212,"424 Washington St, San Francisco, CA 94016"
233221,12,1,14.95,212,"520 River St, San Francisco, CA 94016"
236514,4,2,3.84,212,"820 Highland St, New York City, NY 10001"
236670,17,2,11.99,242,"359 Spruce St, Seattle, WA 98101"
236671,7,1,99.99,226,"492 Ridge St, Dallas, TX 75001"
236672,18,1,700.0,217,"149 7th St, Portland, OR 97035"
236673,4,2,3.84,240,"631 2nd St, Los Angeles, CA 90001"
236674,4,2,3.84,226,"736 14th St, New York City, NY 10001"
236675,17,1,11.99,213,"470 Hill St, San Francisco, CA 94016"
236676,3,1,379.99,215,"470 Cherry St, Los Angeles, CA 90001"
236677,0,1,109.99,224,"918 6th St, San Francisco, CA 94016"
236678,17,1,11.99,236,"58 9th St, San Francisco, CA 94016"
236679,13,1,1700.0,218,"239 Spruce St, Los Angeles, CA 90001"
236680,11,1,600.0,220,"967 Willow St, San Francisco, CA 94016"
236681,4,1,3.84,237,"295 1st St, Boston, MA 02215"
236682,4,1,3.84,230,"118 Johnson St, Portland, OR 97035"
236683,2,1,149.99,242,"196 West St, Dallas, TX 75001"
236684,12,1,14.95,220,"669 12th St, New York City, NY 10001"
236685,6,1,150.0,234,"238 Highland St, Atlanta, GA 30301"
236686,5,1,2.99,226,"766 Maple St, Dallas, TX 75001"
236687,15,1,11.95,234,"668 Meadow St, New York City, NY 10001"
236688,3,1,379.99,219,"821 7th St, Los Angeles, CA 90001"
236689,5,1,2.99,232,"13 Cedar St, San Francisco, CA 94016"
236690,5,1,2.99,219,"139 River St, San Francisco, CA 94016"
236691,15,1,11.95,234,"916 Meadow St, Boston, MA 02215"
236692,15,1,11.95,231,"567 Center St, San Francisco, CA 94016"
236693,1,1,389.99,223,"173 West St, Portland, OR 97035"
236694,6,1,150.0,225,"854 Sunset St, New York City, NY 10001"
236695,7,1,99.99,215,"905 Pine St, San Francisco, CA 94016"
236696,12,1,14.95,232,"530 Church St, New York City, NY 10001"
236697,4,1,3.84,236,"246 Willow St, San Francisco, CA 94016"
236698,17,1,11.99,218,"526 Chestnut St, Dallas, TX 75001"
236699,4,2,3.84,231,"763 Hill St, Atlanta, GA 30301"
236700,17,1,11.99,220,"534 North St, Los Angeles, CA 90001"
236701,6,1,150.0,217,"518 Main St, San Francisco, CA 94016"
236702,14,1,999.99,234,"615 11th St, Dallas, TX 75001"
236703,7,1,99.99,219,"861 Adams St, Atlanta, GA 30301"
236704,8,1,300.0,222,"415 Ridge St, San Francisco, CA 94016"
236705,4,3,3.84,222,"27 North St, Austin, TX 73301"
236706,9,1,600.0,225,"621 North St, San Francisco, CA 94016"
236707,4,2,3.84,225,"306 West St, Los Angeles, CA 90001"
236708,6,1,150.0,238,"353 Madison St, San Francisco, CA 94016"
236709,18,1,700.0,215,"869 Jackson St, San Francisco, CA 94016"
236710,13,1,1700.0,215,"654 Chestnut St, Austin, TX 73301"
236711,13,1,1700.0,239,"627 Lincoln St, Dallas, TX 75001"
236712,4,2,3.84,241,"548 Jefferson St, Boston, MA 02215"
236713,2,1,149.99,216,"852 8th St, San Francisco, CA 94016"
236714,1,1,389.99,241,"194 Dogwood St, Atlanta, GA 30301"
236715,1,1,389.99,234,"628 Jefferson St, Portland, OR 97035"
236716,4,2,3.84,228,"84 Cedar St, San Francisco, CA 94016"
236716,15,1,11.95,228,"84 Cedar St, San Francisco, CA 94016"
236717,9,1,600.0,222,"394 12th St, Atlanta, GA 30301"
236718,6,1,150.0,221,"499 7th St, San Francisco, CA 94016"
236719,5,1,2.99,216,"948 2nd St, Atlanta, GA 30301"
236720,6,1,150.0,235,"881 10th St, Dallas, TX 75001"
236721,6,1,150.0,213,"198 Highland St, Seattle, WA 98101"
236722,5,2,2.99,218,"241 6th St, San Francisco, CA 94016"
236723,6,1,150.0,212,"654 Pine St, New York City, NY 10001"
236724,6,1,150.0,232,"238 Hickory St, San Francisco, CA 94016"
236725,5,3,2.99,235,"590 Lakeview St, San Francisco, CA 94016"
236726,4,1,3.84,240,"434 Church St, Boston, MA 02215"
236727,15,1,11.95,230,"557 North St, New York City, NY 10001"
236728,14,1,999.99,221,"526 North St, Portland, ME 04101"
236729,18,1,700.0,220,"635 Lake St, San Francisco, CA 94016"
236729,6,1,150.0,220,"635 Lake St, San Francisco, CA 94016"
236730,9,1,600.0,213,"445 Lincoln St, New York City, NY 10001"
236730,17,1,11.99,213,"445 Lincoln St, New York City, NY 10001"
236731,5,1,2.99,240,"62 Center St, San Francisco, CA 94016"
236732,8,1,300.0,220,"328 North St, Dallas, TX 75001"
236733,6,1,150.0,219,"467 Hill St, Dallas, TX 75001"
236734,4,2,3.84,225,"405 Chestnut St, Dallas, TX 75001"
236735,6,1,150.0,229,"599 North St, Boston, MA 02215"
236736,17,1,11.99,214,"754 Chestnut St, Los Angeles, CA 90001"
236737,4,1,3.84,235,"908 Park St, San Francisco, CA 94016"
236738,8,1,300.0,241,"672 7th St, New York City, NY 10001"
236739,15,1,11.95,242,"949 Church St, Boston, MA 02215"
236740,15,1,11.95,223,"950 13th St, San Francisco, CA 94016"
236741,15,1,11.95,219,"26 Washington St, Boston, MA 02215"
236742,13,1,1700.0,222,"701 1st St, San Francisco, CA 94016"
236743,12,1,14.95,238,"826 Forest St, Los Angeles, CA 90001"
236744,5,1,2.99,220,"11 Wilson St, Atlanta, GA 30301"
236745,5,1,2.99,228,"850 Ridge St, San Francisco, CA 94016"
236746,5,2,2.99,224,"585 Spruce St, Los Angeles, CA 90001"
236747,5,1,2.99,213,"255 Cherry St, New York City, NY 10001"
236748,7,1,99.99,230,"977 13th St, New York City, NY 10001"
236749,5,1,2.99,241,"498 Johnson St, Austin, TX 73301"
236750,8,1,300.0,236,"806 Ridge St, Boston, MA 02215"
236751,1,1,389.99,214,"534 Washington St, Portland, ME 04101"
236752,1,1,389.99,238,"765 Lakeview St, Austin, TX 73301"
236753,12,1,14.95,229,"501 Lakeview St, New York City, NY 10001"
236754,12,1,14.95,224,"872 Ridge St, Seattle, WA 98101"
236755,17,1,11.99,230,"902 2nd St, Dallas, TX 75001"
236756,4,1,3.84,242,"444 West St, Boston, MA 02215"
236757,15,1,11.95,218,"969 Spruce St, Seattle, WA 98101"
236758,8,1,300.0,229,"155 Hickory St, Los Angeles, CA 90001"
236759,7,1,99.99,238,"848 5th St, New York City, NY 10001"
236760,4,1,3.84,240,"35 Spruce St, Boston, MA 02215"
236761,2,1,149.99,230,"148 Chestnut St, San Francisco, CA 94016"
236762,5,1,2.99,227,"632 Cherry St, San Francisco, CA 94016"
236763,6,1,150.0,217,"288 Lake St, Seattle, WA 98101"
236764,7,1,99.99,233,"663 Elm St, Boston, MA 02215"
236765,17,1,11.99,235,"731 10th St, San Francisco, CA 94016"
236766,17,1,11.99,230,"287 Highland St, Seattle, WA 98101"
236767,18,1,700.0,220,"41 Adams St, Dallas, TX 75001"
236768,4,2,3.84,238,"352 1st St, Portland, OR 97035"
236769,4,1,3.84,236,"270 Cherry St, Dallas, TX 75001"
236770,17,1,11.99,224,"796 Park St, San Francisco, CA 94016"
