Order ID,Product ID,Quantity Ordered,Price Each,Date,Purchase Address
295665,13,1,1700,363,"136 Church St, New York City, NY 10001"
295666,11,1,600.0,362,"562 2nd St, New York City, NY 10001"
295667,15,1,11.95,345,"277 Main St, New York City, NY 10001"
295668,2,1,149.99,355,"410 6th St, San Francisco, CA 94016"
295669,15,1,11.95,351,"43 Hill St, Atlanta, GA 30301"
295670,4,1,3.84,364,"200 Jefferson St, New York City, NY 10001"
295671,15,1,11.95,349,"928 12th St, Portland, OR 97035"
295672,15,2,11.95,346,"813 Hickory St, Dallas, TX 75001"
295673,7,1,99.99,348,"718 Wilson St, Dallas, TX 75001"
295674,5,4,2.99,361,"77 7th St, Dallas, TX 75001"
295675,15,2,11.95,346,"594 1st St, San Francisco, CA 94016"
295676,14,1,999.99,361,"410 Lincoln St, Los Angeles, CA 90001"
295677,4,2,3.84,353,"866 Pine St, Boston, MA 02215"
295678,5,2,2.99,339,"187 Lincoln St, Dallas, TX 75001"
295679,15,1,11.95,358,"902 2nd St, Dallas, TX 75001"
295680,12,1,14.95,334,"338 Main St, Austin, TX 73301"
295681,9,1,600,358,"79 Elm St, Boston, MA 02215"
295681,15,1,11.95,358,"79 Elm St, Boston, MA 02215"
295681,7,1,99.99,358,"79 Elm St, Boston, MA 02215"
295681,17,1,11.99,358,"79 Elm St, Boston, MA 02215"
295682,15,1,11.95,356,"780 Elm St, Portland, OR 97035"
295683,17,1,11.99,356,"341 Lake St, San Francisco, CA 94016"
295684,5,4,2.99,337,"936 Church St, San Francisco, CA 94016"
295685,17,1,11.99,344,"662 Ridge St, San Francisco, CA 94016"
295686,15,1,11.95,350,"573 Maple St, Portland, ME 04101"
295687,6,1,150,343,"531 Ridge St, Boston, MA 02215"
295688,6,1,150,341,"546 Park St, Los Angeles, CA 90001"
295689,11,1,600.0,357,"173 Lake St, San Francisco, CA 94016"
295690,6,1,150,337,"174 Cedar St, Seattle, WA 98101"
295691,7,1,99.99,355,"102 Johnson St, Los Angeles, CA 90001"
295692,4,2,3.84,347,"640 Cherry St, Los Angeles, CA 90001"
295693,17,1,11.99,349,"856 12th St, Atlanta, GA 30301"
295694,12,1,14.95,359,"310 Pine St, Dallas, TX 75001"
295695,12,1,14.95,347,"903 Lincoln St, Boston, MA 02215"
295696,12,1,14.95,356,"252 Hickory St, San Francisco, CA 94016"
295697,14,1,999.99,348,"742 River St, San Francisco, CA 94016"
295698,16,1,400,346,"175 1st St, New York City, NY 10001"
295698,15,2,11.95,346,"175 1st St, New York City, NY 10001"
295699,4,1,3.84,350,"162 Maple St, Seattle, WA 98101"
295700,7,1,99.99,358,"363 Hickory St, New York City, NY 10001"
295701,7,1,99.99,361,"751 North St, San Francisco, CA 94016"
295702,17,2,11.99,354,"628 River St, Austin, TX 73301"
295703,4,1,3.84,350,"502 Jefferson St, Austin, TX 73301"
295703,7,1,99.99,350,"502 Jefferson St, Austin, TX 73301"
295704,17,1,11.99,345,"457 8th St, New York City, NY 10001"
295705,17,1,11.99,358,"133 Jackson St, New York City, NY 10001"
295706,5,3,2.99,345,"599 Hill St, Los Angeles, CA 90001"
295707,12,1,14.95,340,"547 Ridge St, San Francisco, CA 94016"
295708,2,1,149.99,346,"846 9th St, Boston, MA 02215"
295709,7,1,99.99,358,"662 6th St, San Francisco, CA 94016"
295710,5,1,2.99,359,"729 Pine St, Atlanta, GA 30301"
295711,5,2,2.99,337,"489 Johnson St, San Francisco, CA 94016"
295712,13,1,1700,343,"331 Madison St, New York City, NY 10001"
295713,7,1,99.99,357,"490 Spruce St, New York City, NY 10001"
295714,18,1,700,364,"826 Hickory St, Los Angeles, CA 90001"
295715,15,2,11.95,350,"169 Maple St, Seattle, WA 98101"
295716,0,1,109.99,336,"593 9th St, Los Angeles, CA 90001"
295717,13,1,1700,358,"82 10th St, San Francisco, CA 94016"
295718,12,1,14.95,360,"785 Chestnut St, San Francisco, CA 94016"
295719,2,1,149.99,357,"334 2nd St, Los Angeles, CA 90001"
295720,4,1,3.84,350,"298 Ridge St, New York City, NY 10001"
295721,3,1,379.99,341,"915 1st St, Seattle, WA 98101"
295722,17,1,11.99,341,"380 Lake St, San Francisco, CA 94016"
295723,4,1,3.84,340,"530 Walnut St, Los Angeles, CA 90001"
295724,4,2,3.84,336,"570 Walnut St, Dallas, TX 75001"
295725,5,3,2.99,338,"911 River St, San Francisco, CA 94016"
295726,18,1,700,358,"203 Lakeview St, Boston, MA 02215"
295726,12,1,14.95,358,"203 Lakeview St, Boston, MA 02215"
295727,7,1,99.99,347,"5 Dogwood St, San Francisco, CA 94016"
295728,2,1,149.99,354,"366 Washington St, New York City, NY 10001"
295729,3,1,379.99,361,"432 1st St, Dallas, TX 75001"
295730,3,1,379.99,347,"574 West St, San Francisco, CA 94016"
295731,15,1,11.95,349,"33 9th St, San Francisco, CA 94016"
295732,6,1,150,362,"860 Washington St, Boston, MA 02215"
295733,2,1,149.99,353,"228 5th St, Boston, MA 02215"
295734,5,1,2.99,358,"453 Jackson St, Portland, OR 97035"
295735,18,1,700,355,"374 Lincoln St, New York City, NY 10001"
295735,6,1,150,355,"374 Lincoln St, New York City, NY 10001"
295735,17,1,11.99,355,"374 Lincoln St, New York City, NY 10001"
295736,15,2,11.95,360,"523 Lincoln St, San Francisco, CA 94016"
295737,18,1,700,352,"966 10th St, Atlanta, GA 30301"
295737,12,1,14.95,352,"966 10th St, Atlanta, GA 30301"
295738,5,1,2.99,353,"829 7th St, Dallas, TX 75001"
295739,15,1,11.95,347,"949 Wilson St, Los Angeles, CA 90001"
295740,15,1,11.95,334,"102 Cedar St, New York City, NY 10001"
295741,6,1,150,335,"829 Johnson St, Boston, MA 02215"
295742,6,1,150,342,"368 Sunset St, New York City, NY 10001"
295743,15,1,11.95,336,"346 South St, New York City, NY 10001"
295744,4,2,3.84,352,"579 Lake St, San Francisco, CA 94016"
295745,8,1,300,357,"124 Lakeview St, New York City, NY 10001"
295746,2,1,149.99,360,"143 Adams St, New York City, NY 10001"
295747,4,3,3.84,343,"11 8th St, San Francisco, CA 94016"
295748,17,1,11.99,340,"45 Church St, Boston, MA 02215"
295749,17,2,11.99,337,"983 Highland St, Los Angeles, CA 90001"
295750,7,1,99.99,360,"25 Lincoln St, San Francisco, CA 94016"
295751,5,1,2.99,362,"922 Hickory St, Los Angeles, CA 90001"
295752,9,1,600,344,"341 Forest St, Dallas, TX 75001"
295753,3,1,379.99,358,"365 Washington St, Dallas, TX 75001"
295753,12,1,14.95,358,"365 Washington St, Dallas, TX 75001"
295754,12,1,14.95,340,"502 Cherry St, Austin, TX 73301"
295755,6,1,150,354,"32 1st St, Boston, MA 02215"
295756,3,1,379.99,335,"20 Wilson St, Atlanta, GA 30301"
295757,4,1,3.84,338,"819 Lake St, Portland, OR 97035"
295758,17,1,11.99,359,"910 Jackson St, New York City, NY 10001"
295759,7,1,99.99,358,"15 Pine St, New York City, NY 10001"
295759,17,1,11.99,358,"15 Pine St, New York City, NY 10001"
295760,7,1,99.99,363,"239 4th St, Atlanta, GA 30301"
295761,12,1,14.95,364,"79 Chestnut St, Dallas, TX 75001"
295762,18,1,700,337,"342 9th St, New York City, NY 10001"
295763,2,1,149.99,351,"594 4th St, Los Angeles, CA 90001"
295764,12,1,14.95,334,"734 Hill St, New York City, NY 10001"
295765,17,1,11.99,341,"918 4th St, Seattle, WA 98101"
295766,12,1,14.95,350,"795 8th St, Seattle, WA 98101"
295767,5,1,2.99,354,"891 7th St, New York City, NY 10001"
295768,5,2,2.99,355,"98 Johnson St, New York City, NY 10001"
295769,7,1,99.99,360,"309 6th St, San Francisco, CA 94016"
295770,7,1,99.99,361,"307 South St, San Francisco, CA 94016"
295771,5,1,2.99,356,"352 Meadow St, San Francisco, CA 94016"
295772,12,1,14.95,350,"44 Main St, Atlanta, GA 30301"
295773,6,1,150,340,"632 Cherry St, Los Angeles, CA 90001"
295774,7,1,99.99,364,"196 Wilson St, Los Angeles, CA 90001"
295775,9,1,600,337,"439 Jefferson St, Dallas, TX 75001"
295776,15,1,11.95,355,"552 Hill St, Atlanta, GA 30301"
295777,5,1,2.99,342,"598 14th St, Atlanta, GA 30301"
295778,4,1,3.84,341,"820 Adams St, San Francisco, CA 94016"
295779,17,1,11.99,358,"201 Madison St, Los Angeles, CA 90001"
295780,15,1,11.95,359,"864 Hickory St, Boston, MA 02215"
295781,15,1,11.95,341,"413 Forest St, Boston, MA 02215"
295782,3,1,379.99,352,"544 South St, Dallas, TX 75001"
295783,16,1,400,339,"87 5th St, San Francisco, CA 94016"
295783,15,1,11.95,339,"87 5th St, San Francisco, CA 94016"
295784,15,1,11.95,364,"935 Jackson St, Seattle, WA 98101"
295785,7,1,99.99,342,"801 West St, Boston, MA 02215"
295786,15,1,11.95,357,"859 12th St, Atlanta, GA 30301"
295786,6,1,150,357,"859 12th St, Atlanta, GA 30301"
295787,15,1,11.95,361,"458 Elm St, Atlanta, GA 30301"
295788,4,1,3.84,361,"885 Lincoln St, Los Angeles, CA 90001"
295789,12,1,14.95,338,"157 Main St, Austin, TX 73301"
295790,12,1,14.95,338,"420 Center St, Los Angeles, CA 90001"
295791,15,1,11.95,347,"286 North St, New York City, NY 10001"
295792,12,1,14.95,353,"5 11th St, San Francisco, CA 94016"
295793,9,1,600,348,"275 Jackson St, San Francisco, CA 94016"
295793,15,1,11.95,348,"275 Jackson St, San Francisco, CA 94016"
295794,1,1,389.99,353,"796 Chestnut St, Boston, MA 02215"
295795,6,1,150,341,"177 Walnut St, Los Angeles, CA 90001"
295796,12,1,14.95,346,"677 Lakeview St, Seattle, WA 98101"
295797,17,1,11.99,349,"163 Washington St, Portland, ME 04101"
295798,17,1,11.99,338,"372 Chestnut St, Austin, TX 73301"
295799,5,1,2.99,355,"236 Elm St, Los Angeles, CA 90001"
295800,5,1,2.99,362,"140 10th St, Atlanta, GA 30301"
295801,12,1,14.95,352,"943 Johnson St, San Francisco, CA 94016"
295802,3,1,379.99,344,"838 Ridge St, San Francisco, CA 94016"
295803,12,1,14.95,357,"513 Maple St, Los Angeles, CA 90001"
295804,6,1,150,353,"705 4th St, Los Angeles, CA 90001"
295805,17,1,11.99,339,"528 Willow St, New York City, NY 10001"
295806,12,1,14.95,334,"323 Forest St, Dallas, TX 75001"
295807,0,1,109.99,356,"286 Lincoln St, Los Angeles, CA 90001"
295808,5,1,2.99,354,"961 Jackson St, San Francisco, CA 94016"
295809,2,1,149.99,361,"602 Ridge St, San Francisco, CA 94016"
295810,12,1,14.95,350,"499 13th St, San Francisco, CA 94016"
295811,5,1,2.99,356,"792 7th St, New York City, NY 10001"
295812,4,1,3.84,356,"359 12th St, Seattle, WA 98101"
295813,7,1,99.99,344,"901 Madison St, New York City, NY 10001"
295814,4,3,3.84,357,"987 Cherry St, Los Angeles, CA 90001"
295815,12,1,14.95,361,"464 Willow St, Boston, MA 02215"
295816,15,1,11.95,354,"253 Jefferson St, Atlanta, GA 30301"
295817,15,1,11.95,352,"963 Washington St, Austin, TX 73301"
295817,0,1,109.99,352,"963 Washington St, Austin, TX 73301"
295818,17,1,11.99,340,"725 Wilson St, Boston, MA 02215"
295819,12,1,14.95,356,"138 Highland St, Portland, OR 97035"
295820,7,1,99.99,346,"51 Highland St, San Francisco, CA 94016"
295821,7,1,99.99,362,"65 Center St, Boston, MA 02215"
295822,9,1,600,337,"307 Wilson St, San Francisco, CA 94016"
295822,17,1,11.99,337,"307 Wilson St, San Francisco, CA 94016"
295823,18,1,700,343,"852 Maple St, Austin, TX 73301"
