Order ID,Product ID,Quantity Ordered,Price Each,Date,Purchase Address
145212,12,1,14.95,31,"484 6th St, Dallas, TX 75001"
145372,5,1,2.99,31,"459 West St, Dallas, TX 75001"
146442,15,1,11.95,31,"229 West St, Los Angeles, CA 90001"
147309,13,1,1700,31,"594 South St, Dallas, TX 75001"
147663,12,1,14.95,31,"96 Elm St, Boston, MA 02215"
148987,4,1,3.84,31,"55 Elm St, Atlanta, GA 30301"
150502,18,1,700,48,"866 Spruce St, Portland, ME 04101"
150503,4,1,3.84,43,"18 13th St, San Francisco, CA 94016"
150504,1,1,389.99,48,"52 6th St, New York City, NY 10001"
150505,12,1,14.95,32,"129 Cherry St, Atlanta, GA 30301"
150506,4,2,3.84,58,"548 Lincoln St, Seattle, WA 98101"
150507,12,1,14.95,54,"387 12th St, Austin, TX 73301"
150508,4,1,3.84,51,"622 Center St, San Francisco, CA 94016"
150509,6,1,150,56,"921 6th St, Seattle, WA 98101"
150510,15,1,11.95,47,"451 2nd St, Los Angeles, CA 90001"
150511,15,1,11.95,52,"689 River St, San Francisco, CA 94016"
150512,7,1,99.99,47,"198 Center St, Los Angeles, CA 90001"
150513,7,1,99.99,55,"777 Spruce St, Los Angeles, CA 90001"
150514,2,1,149.99,33,"723 Wilson St, Los Angeles, CA 90001"
150515,6,1,150,48,"101 13th St, New York City, NY 10001"
150516,12,1,14.95,50,"303 Sunset St, Atlanta, GA 30301"
150517,17,1,11.99,38,"471 13th St, San Francisco, CA 94016"
150518,13,1,1700,56,"847 10th St, San Francisco, CA 94016"
150518,18,1,700,56,"847 10th St, San Francisco, CA 94016"
150519,17,1,11.99,53,"111 Hill St, Dallas, TX 75001"
150520,4,2,3.84,57,"512 Church St, Dallas, TX 75001"
150521,8,1,300,57,"588 1st St, Los Angeles, CA 90001"
150522,0,1,109.99,42,"633 Cherry St, Boston, MA 02215"
150523,10,1,600.0,57,"452 8th St, San Francisco, CA 94016"
150524,17,1,11.99,58,"311 8th St, Austin, TX 73301"
150525,0,1,109.99,55,"874 Jefferson St, San Francisco, CA 94016"
150526,5,1,2.99,45,"85 Park St, Boston, MA 02215"
150527,15,1,11.95,37,"165 Jefferson St, Los Angeles, CA 90001"
150528,5,2,2.99,56,"426 Lake St, Los Angeles, CA 90001"
150529,4,4,3.84,41,"116 Elm St, Seattle, WA 98101"
150530,14,1,999.99,35,"752 Park St, Los Angeles, CA 90001"
150531,15,1,11.95,58,"457 Maple St, Los Angeles, CA 90001"
150532,15,1,11.95,34,"645 Walnut St, San Francisco, CA 94016"
150534,5,2,2.99,42,"246 9th St, Los Angeles, CA 90001"
150535,5,1,2.99,51,"961 2nd St, San Francisco, CA 94016"
150536,17,1,11.99,43,"134 8th St, Los Angeles, CA 90001"
150537,17,1,11.99,53,"437 12th St, San Francisco, CA 94016"
150538,6,1,150,52,"553 12th St, Atlanta, GA 30301"
150539,4,2,3.84,48,"103 14th St, San Francisco, CA 94016"
