Order ID,Product ID,Quantity Ordered,Price Each,Date,Purchase Address
141234,18,1,700,21,"944 Walnut St, Boston, MA 02215"
141235,12,1,14.95,27,"185 Maple St, Portland, OR 97035"
141236,17,2,11.99,16,"538 Adams St, San Francisco, CA 94016"
141237,2,1,149.99,4,"738 10th St, Los Angeles, CA 90001"
141238,17,1,11.99,24,"387 10th St, Austin, TX 73301"
141239,5,1,2.99,28,"775 Willow St, San Francisco, CA 94016"
141240,1,1,389.99,25,"979 Park St, Los Angeles, CA 90001"
141241,15,1,11.95,4,"181 6th St, San Francisco, CA 94016"
141242,7,1,99.99,0,"867 Willow St, Los Angeles, CA 90001"
141243,6,1,150,21,"657 Johnson St, San Francisco, CA 94016"
141244,6,1,150,6,"492 Walnut St, San Francisco, CA 94016"
141245,13,1,1700,30,"322 6th St, San Francisco, CA 94016"
141246,5,3,2.99,8,"618 7th St, Los Angeles, CA 90001"
141247,2,1,149.99,24,"512 Wilson St, San Francisco, CA 94016"
141248,8,1,300,2,"363 Spruce St, Austin, TX 73301"
141249,2,1,149.99,4,"440 Cedar St, Portland, OR 97035"
141250,16,1,400,9,"471 Center St, Los Angeles, CA 90001"
141251,6,1,150,23,"414 Walnut St, Boston, MA 02215"
141252,15,1,11.95,29,"220 9th St, Los Angeles, CA 90001"
141253,4,1,3.84,16,"385 11th St, Atlanta, GA 30301"
141254,5,1,2.99,7,"238 Sunset St, Seattle, WA 98101"
141255,15,1,11.95,8,"764 11th St, Los Angeles, CA 90001"
141256,9,1,600,28,"675 Washington St, Portland, OR 97035"
141257,6,1,150,11,"338 Highland St, San Francisco, CA 94016"
141258,4,1,3.84,18,"820 1st St, San Francisco, CA 94016"
141259,5,2,2.99,19,"920 Adams St, San Francisco, CA 94016"
141260,5,1,2.99,0,"293 Hill St, San Francisco, CA 94016"
141261,15,1,11.95,8,"840 Lincoln St, Atlanta, GA 30301"
141262,5,1,2.99,15,"291 Lincoln St, San Francisco, CA 94016"
141263,7,1,99.99,10,"640 Spruce St, Boston, MA 02215"
141264,6,1,150,2,"937 Highland St, New York City, NY 10001"
141265,6,1,150,0,"853 Ridge St, Boston, MA 02215"
141266,1,1,389.99,1,"834 4th St, Dallas, TX 75001"
141267,6,1,150,8,"649 Sunset St, Los Angeles, CA 90001"
141268,4,1,3.84,13,"611 Elm St, New York City, NY 10001"
141269,1,1,389.99,2,"812 Jefferson St, Los Angeles, CA 90001"
141270,17,1,11.99,26,"469 Hill St, San Francisco, CA 94016"
141271,15,1,11.95,29,"90 13th St, Boston, MA 02215"
141272,5,1,2.99,11,"818 Lincoln St, New York City, NY 10001"
141273,17,2,11.99,28,"994 13th St, Boston, MA 02215"
141274,15,1,11.95,16,"8 Jackson St, Los Angeles, CA 90001"
141275,15,1,11.95,6,"610 Walnut St, Austin, TX 73301"
141275,17,1,11.99,6,"610 Walnut St, Austin, TX 73301"
141276,12,1,14.95,20,"63 Cherry St, Los Angeles, CA 90001"
141277,7,1,99.99,12,"370 Lakeview St, Austin, TX 73301"
141278,12,1,14.95,25,"100 Cherry St, New York City, NY 10001"
141279,12,1,14.95,2,"938 14th St, Boston, MA 02215"
141280,5,1,2.99,19,"530 7th St, Los Angeles, CA 90001"
141281,12,1,14.95,4,"274 2nd St, Atlanta, GA 30301"
141282,16,1,400,10,"125 Center St, New York City, NY 10001"
141283,8,1,300,1,"68 Hickory St, Seattle, WA 98101"
141284,17,1,11.99,28,"462 1st St, Los Angeles, CA 90001"
141285,5,3,2.99,13,"447 Cedar St, Seattle, WA 98101"
141286,1,1,389.99,1,"505 Hickory St, Dallas, TX 75001"
141287,7,1,99.99,30,"386 Elm St, San Francisco, CA 94016"
141288,13,1,1700,18,"789 Washington St, Los Angeles, CA 90001"
141289,0,1,109.99,27,"534 Elm St, Atlanta, GA 30301"
141290,6,1,150,1,"4 1st St, Los Angeles, CA 90001"
141290,4,3,3.84,1,"4 1st St, Los Angeles, CA 90001"
141291,4,1,3.84,25,"632 13th St, Los Angeles, CA 90001"
141292,5,1,2.99,20,"847 Ridge St, Los Angeles, CA 90001"
141293,15,1,11.95,17,"880 Washington St, Boston, MA 02215"
141294,7,1,99.99,24,"907 Highland St, San Francisco, CA 94016"
141295,4,1,3.84,5,"898 Lakeview St, Austin, TX 73301"
141296,15,1,11.95,19,"889 Cedar St, Atlanta, GA 30301"
141297,12,1,14.95,3,"566 Highland St, San Francisco, CA 94016"
