Order ID,Product ID,Quantity Ordered,Price Each,Date,Purchase Address
222910,6,1,150,206,"389 South St, Atlanta, GA 30301"
222911,8,1,300,185,"590 4th St, Seattle, WA 98101"
222912,4,1,3.84,209,"861 Hill St, Atlanta, GA 30301"
222913,4,1,3.84,208,"190 Ridge St, Atlanta, GA 30301"
222914,5,5,2.99,211,"824 Forest St, Seattle, WA 98101"
222915,7,1,99.99,183,"899 Elm St, San Francisco, CA 94016"
222916,9,1,600,201,"745 Chestnut St, New York City, NY 10001"
222917,10,1,600.0,197,"490 Adams St, New York City, NY 10001"
222918,15,1,11.95,194,"207 1st St, Los Angeles, CA 90001"
222919,12,1,14.95,194,"29 Jefferson St, Dallas, TX 75001"
222920,4,1,3.84,210,"590 6th St, San Francisco, CA 94016"
222921,12,1,14.95,182,"960 Willow St, San Francisco, CA 94016"
222922,3,1,379.99,200,"616 Chestnut St, Dallas, TX 75001"
222923,5,1,2.99,185,"105 Johnson St, Los Angeles, CA 90001"
222924,7,1,99.99,193,"444 Spruce St, San Francisco, CA 94016"
222925,6,1,150,189,"764 Adams St, San Francisco, CA 94016"
222926,12,2,14.95,195,"577 Lakeview St, Los Angeles, CA 90001"
222927,17,1,11.99,211,"244 Washington St, Los Angeles, CA 90001"
222928,9,1,600,195,"524 Cherry St, San Francisco, CA 94016"
222929,16,1,400,184,"882 Hickory St, Boston, MA 02215"
222930,12,1,14.95,200,"826 River St, San Francisco, CA 94016"
222931,15,1,11.95,198,"145 Pine St, Boston, MA 02215"
222932,17,1,11.99,204,"386 Cedar St, Los Angeles, CA 90001"
222933,10,1,600.0,210,"76 2nd St, Los Angeles, CA 90001"
222934,4,2,3.84,183,"437 River St, Seattle, WA 98101"
222935,5,1,2.99,203,"118 9th St, San Francisco, CA 94016"
222936,2,1,149.99,184,"483 West St, Boston, MA 02215"
222937,12,2,14.95,183,"538 North St, San Francisco, CA 94016"
222938,8,1,300,200,"523 Hickory St, Dallas, TX 75001"
222939,6,1,150,197,"597 Madison St, Los Angeles, CA 90001"
222940,17,2,11.99,185,"779 Maple St, San Francisco, CA 94016"
222941,6,1,150,182,"631 Willow St, San Francisco, CA 94016"
222942,12,1,14.95,187,"424 Church St, Portland, OR 97035"
222943,12,1,14.95,200,"575 4th St, Seattle, WA 98101"
222944,2,1,149.99,187,"70 Meadow St, San Francisco, CA 94016"
222945,17,1,11.99,201,"191 Dogwood St, Los Angeles, CA 90001"
222946,0,1,109.99,194,"49 Park St, New York City, NY 10001"
222947,14,1,999.99,196,"612 Spruce St, New York City, NY 10001"
222948,15,1,11.95,190,"631 12th St, San Francisco, CA 94016"
222949,15,1,11.95,208,"902 Cedar St, Dallas, TX 75001"
222950,12,1,14.95,197,"358 1st St, Dallas, TX 75001"
222951,6,1,150,188,"781 Maple St, San Francisco, CA 94016"
222952,12,1,14.95,186,"879 Park St, San Francisco, CA 94016"
222953,12,1,14.95,211,"109 Highland St, Los Angeles, CA 90001"
222954,4,2,3.84,194,"980 Chestnut St, Dallas, TX 75001"
222955,15,1,11.95,181,"117 Lake St, Los Angeles, CA 90001"
222956,1,1,389.99,191,"525 6th St, Atlanta, GA 30301"
222957,5,1,2.99,199,"143 5th St, Portland, OR 97035"
222958,5,1,2.99,206,"777 5th St, Dallas, TX 75001"
222959,14,1,999.99,195,"252 River St, Dallas, TX 75001"
222960,12,1,14.95,191,"638 Dogwood St, San Francisco, CA 94016"
222961,12,1,14.95,184,"840 5th St, Dallas, TX 75001"
222962,17,1,11.99,200,"694 Cherry St, Seattle, WA 98101"
222963,15,1,11.95,209,"734 Elm St, Boston, MA 02215"
222964,13,1,1700,204,"601 Lake St, Boston, MA 02215"
222965,5,2,2.99,187,"792 Cedar St, San Francisco, CA 94016"
222966,4,2,3.84,193,"718 7th St, Seattle, WA 98101"
222967,0,1,109.99,194,"161 13th St, San Francisco, CA 94016"
222968,4,1,3.84,204,"536 14th St, San Francisco, CA 94016"
222969,5,1,2.99,185,"248 Johnson St, San Francisco, CA 94016"
222970,5,1,2.99,189,"594 Church St, Atlanta, GA 30301"
222971,6,1,150,185,"444 Spruce St, Austin, TX 73301"
222972,17,1,11.99,189,"917 Madison St, Seattle, WA 98101"
222973,8,1,300,198,"509 Hickory St, Seattle, WA 98101"
222974,12,1,14.95,189,"112 Wilson St, Los Angeles, CA 90001"
222975,17,1,11.99,199,"541 Hickory St, Los Angeles, CA 90001"
222976,12,1,14.95,197,"390 1st St, Los Angeles, CA 90001"
222977,12,1,14.95,194,"660 Walnut St, Los Angeles, CA 90001"
222978,5,2,2.99,184,"941 Willow St, Seattle, WA 98101"
222979,7,1,99.99,191,"844 Center St, Seattle, WA 98101"
222980,7,1,99.99,193,"519 Park St, Atlanta, GA 30301"
222981,15,1,11.95,206,"791 9th St, Austin, TX 73301"
222982,8,1,300,208,"651 Ridge St, Portland, OR 97035"
222983,12,1,14.95,196,"639 Spruce St, Boston, MA 02215"
222984,15,1,11.95,209,"305 Johnson St, Austin, TX 73301"
222985,7,1,99.99,201,"846 Lake St, Dallas, TX 75001"
222986,12,1,14.95,185,"313 Forest St, San Francisco, CA 94016"
222987,5,1,2.99,211,"538 1st St, New York City, NY 10001"
222988,12,1,14.95,184,"647 Meadow St, Dallas, TX 75001"
222989,12,1,14.95,187,"48 Walnut St, Dallas, TX 75001"
222990,5,2,2.99,199,"419 Jackson St, New York City, NY 10001"
222991,2,1,149.99,185,"450 8th St, Los Angeles, CA 90001"
222992,4,1,3.84,185,"779 Washington St, San Francisco, CA 94016"
222993,5,1,2.99,205,"697 Adams St, Los Angeles, CA 90001"
222994,15,1,11.95,190,"251 Cedar St, New York City, NY 10001"
222995,3,1,379.99,207,"837 Park St, San Francisco, CA 94016"
222996,2,1,149.99,192,"885 Sunset St, Los Angeles, CA 90001"
222997,5,1,2.99,201,"619 Willow St, New York City, NY 10001"
222998,12,1,14.95,208,"38 Lakeview St, Boston, MA 02215"
222999,8,1,300,209,"615 Cherry St, Seattle, WA 98101"
223000,5,1,2.99,199,"670 10th St, Atlanta, GA 30301"
223001,6,1,150,209,"978 10th St, San Francisco, CA 94016"
223002,4,1,3.84,193,"603 12th St, Dallas, TX 75001"
223003,12,1,14.95,189,"18 Jefferson St, San Francisco, CA 94016"
223004,5,1,2.99,194,"911 Spruce St, San Francisco, CA 94016"
223005,2,1,149.99,206,"306 Lake St, Austin, TX 73301"
223006,12,1,14.95,202,"499 Park St, Los Angeles, CA 90001"
223007,7,1,99.99,186,"481 10th St, Portland, OR 97035"
223008,5,3,2.99,192,"289 13th St, Boston, MA 02215"
223009,6,1,150,208,"152 9th St, Boston, MA 02215"
223010,5,1,2.99,198,"518 Wilson St, Boston, MA 02215"
223011,6,1,150,189,"87 Sunset St, San Francisco, CA 94016"
223012,7,1,99.99,193,"233 12th St, Austin, TX 73301"
223013,5,2,2.99,207,"289 8th St, New York City, NY 10001"
223014,17,1,11.99,190,"421 Highland St, Atlanta, GA 30301"
223015,7,1,99.99,206,"605 Johnson St, San Francisco, CA 94016"
223016,15,1,11.95,200,"700 Church St, New York City, NY 10001"
223017,5,2,2.99,182,"773 Hickory St, San Francisco, CA 94016"
223018,14,1,999.99,184,"767 Adams St, Los Angeles, CA 90001"
223019,5,2,2.99,209,"788 Hill St, Dallas, TX 75001"
223020,2,1,149.99,188,"296 9th St, Boston, MA 02215"
223021,5,1,2.99,187,"657 10th St, Los Angeles, CA 90001"
223022,12,1,14.95,211,"93 Madison St, Atlanta, GA 30301"
223023,7,1,99.99,181,"268 Meadow St, San Francisco, CA 94016"
223024,5,2,2.99,203,"91 Jefferson St, Dallas, TX 75001"
223025,4,1,3.84,203,"142 Pine St, San Francisco, CA 94016"
223026,17,1,11.99,205,"47 Pine St, San Francisco, CA 94016"
223027,4,1,3.84,191,"876 Center St, Austin, TX 73301"
223028,16,1,400,187,"969 10th St, San Francisco, CA 94016"
223028,15,2,11.95,187,"969 10th St, San Francisco, CA 94016"
