Order ID,Product ID,Quantity Ordered,Price Each,Date,Purchase Address
195748,2,1,149.99,151,"856 Elm St, San Francisco, CA 94016"
195869,5,1,2.99,151,"877 Center St, Dallas, TX 75001"
196072,12,1,14.95,151,"594 Willow St, San Francisco, CA 94016"
196132,12,1,14.95,151,"998 10th St, San Francisco, CA 94016"
196638,16,1,400,151,"612 North St, Atlanta, GA 30301"
196639,15,1,11.95,151,"972 13th St, New York City, NY 10001"
197698,9,1,600,151,"399 Cedar St, Los Angeles, CA 90001"
199098,4,2,3.84,151,"924 1st St, Los Angeles, CA 90001"
200917,0,1,109.99,151,"761 Highland St, Austin, TX 73301"
202460,7,1,99.99,151,"428 Lake St, San Francisco, CA 94016"
203763,15,1,11.95,151,"857 Church St, San Francisco, CA 94016"
203973,18,1,700,151,"828 Madison St, Los Angeles, CA 90001"
203980,15,1,11.95,151,"427 Washington St, Portland, OR 97035"
204190,17,1,11.99,151,"153 Chestnut St, Atlanta, GA 30301"
204610,5,3,2.99,151,"34 Adams St, Atlanta, GA 30301"
205619,3,1,379.99,151,"627 Cherry St, New York City, NY 10001"
209921,15,1,11.95,173,"950 Walnut St, Portland, ME 04101"
209922,13,1,1700.0,180,"80 4th St, San Francisco, CA 94016"
209923,14,1,999.99,174,"402 Jackson St, Los Angeles, CA 90001"
209924,2,1,149.99,155,"560 10th St, Seattle, WA 98101"
209925,7,1,99.99,175,"545 2nd St, San Francisco, CA 94016"
209926,6,1,150.0,178,"386 Lake St, Seattle, WA 98101"
209927,12,1,14.95,178,"29 Lincoln St, Los Angeles, CA 90001"
209928,6,1,150.0,166,"350 9th St, New York City, NY 10001"
209929,17,1,11.99,178,"612 Meadow St, Portland, OR 97035"
209930,2,1,149.99,152,"625 Ridge St, Los Angeles, CA 90001"
209931,6,1,150.0,174,"761 14th St, New York City, NY 10001"
209932,8,1,300.0,162,"858 8th St, Boston, MA 02215"
209933,4,1,3.84,157,"932 Lakeview St, San Francisco, CA 94016"
209934,5,1,2.99,163,"387 Dogwood St, Boston, MA 02215"
209935,5,1,2.99,159,"530 Cedar St, Boston, MA 02215"
209936,3,1,379.99,165,"769 Dogwood St, Dallas, TX 75001"
209937,4,1,3.84,179,"675 Maple St, Dallas, TX 75001"
209938,18,1,700.0,165,"766 Meadow St, Seattle, WA 98101"
209938,17,1,11.99,165,"766 Meadow St, Seattle, WA 98101"
209939,9,1,600.0,158,"313 South St, San Francisco, CA 94016"
209940,3,1,379.99,176,"990 South St, Atlanta, GA 30301"
209941,17,1,11.99,177,"486 13th St, Boston, MA 02215"
209942,1,1,389.99,169,"874 Wilson St, Austin, TX 73301"
209943,5,3,2.99,173,"158 Willow St, Los Angeles, CA 90001"
209944,2,1,149.99,152,"916 Lake St, Austin, TX 73301"
209945,4,1,3.84,178,"211 12th St, San Francisco, CA 94016"
209946,9,1,600.0,178,"66 Cherry St, San Francisco, CA 94016"
209947,6,1,150.0,156,"7 Lakeview St, San Francisco, CA 94016"
209948,13,1,1700.0,159,"101 Spruce St, Atlanta, GA 30301"
