Order ID,Product ID,Quantity Ordered,Price Each,Date,Purchase Address
194095,17,1,11.99,135,"669 2nd St, New York City, NY 10001"
194096,4,1,3.84,138,"844 Walnut St, Dallas, TX 75001"
194097,2,1,149.99,143,"164 Madison St, New York City, NY 10001"
194098,17,1,11.99,121,"622 Meadow St, Dallas, TX 75001"
194099,5,2,2.99,130,"17 Church St, Seattle, WA 98101"
194100,18,1,700.0,129,"81 Jefferson St, San Francisco, CA 94016"
194101,15,1,11.95,130,"354 Meadow St, Boston, MA 02215"
194102,12,1,14.95,126,"166 4th St, Dallas, TX 75001"
194103,2,1,149.99,143,"759 Pine St, Seattle, WA 98101"
194104,17,1,11.99,123,"330 1st St, Seattle, WA 98101"
194105,14,1,999.99,132,"928 Hill St, Atlanta, GA 30301"
194106,15,1,11.95,131,"261 Jackson St, San Francisco, CA 94016"
194107,3,1,379.99,138,"451 Walnut St, New York City, NY 10001"
194108,4,1,3.84,141,"832 Lakeview St, Austin, TX 73301"
194109,5,1,2.99,134,"202 11th St, Los Angeles, CA 90001"
194110,9,1,600.0,150,"498 14th St, Los Angeles, CA 90001"
194110,17,1,11.99,150,"498 14th St, Los Angeles, CA 90001"
194111,2,1,149.99,123,"99 Dogwood St, Dallas, TX 75001"
194112,9,1,600.0,148,"853 West St, Austin, TX 73301"
194113,6,1,150.0,129,"29 Adams St, Los Angeles, CA 90001"
194114,17,1,11.99,139,"857 River St, Atlanta, GA 30301"
194115,5,1,2.99,149,"159 Lincoln St, Los Angeles, CA 90001"
194116,12,1,14.95,138,"486 6th St, Boston, MA 02215"
194117,12,1,14.95,131,"239 Madison St, Austin, TX 73301"
194118,4,1,3.84,137,"762 Maple St, Boston, MA 02215"
194119,17,3,11.99,126,"531 Jackson St, New York City, NY 10001"
194120,5,1,2.99,130,"492 Washington St, Los Angeles, CA 90001"
194121,10,1,600.0,129,"911 Hill St, Los Angeles, CA 90001"
194122,17,1,11.99,146,"573 Spruce St, Dallas, TX 75001"
