Order ID,Product ID,Quantity Ordered,Price Each,Date,Purchase Address
162009,18,1,700,86,"942 Church St, Austin, TX 73301"
162009,12,1,14.95,86,"942 Church St, Austin, TX 73301"
162009,17,2,11.99,86,"942 Church St, Austin, TX 73301"
162010,7,1,99.99,75,"261 10th St, San Francisco, CA 94016"
162011,3,1,379.99,68,"764 13th St, San Francisco, CA 94016"
162012,4,1,3.84,78,"187 Ridge St, San Francisco, CA 94016"
162013,3,1,379.99,73,"904 Main St, Austin, TX 73301"
162014,15,1,11.95,59,"10 13th St, San Francisco, CA 94016"
162015,4,1,3.84,60,"949 Jefferson St, Boston, MA 02215"
162016,5,5,2.99,77,"469 Highland St, Atlanta, GA 30301"
162017,12,1,14.95,60,"449 River St, San Francisco, CA 94016"
162018,15,2,11.95,76,"925 Maple St, Portland, OR 97035"
162019,5,1,2.99,63,"639 4th St, Atlanta, GA 30301"
162020,11,1,600.0,84,"616 Jackson St, Dallas, TX 75001"
162021,17,1,11.99,88,"645 Wilson St, Los Angeles, CA 90001"
162022,4,1,3.84,75,"473 Hill St, New York City, NY 10001"
162023,6,1,150,69,"404 Park St, San Francisco, CA 94016"
162024,1,1,389.99,75,"952 Willow St, Atlanta, GA 30301"
162025,5,1,2.99,65,"110 7th St, Boston, MA 02215"
162026,18,1,700,80,"71 Pine St, Austin, TX 73301"
162027,5,1,2.99,74,"421 Main St, Los Angeles, CA 90001"
162028,5,3,2.99,78,"739 1st St, San Francisco, CA 94016"
162029,5,1,2.99,84,"141 North St, Atlanta, GA 30301"
162030,9,1,600,67,"463 4th St, San Francisco, CA 94016"
162031,12,1,14.95,86,"131 Johnson St, Boston, MA 02215"
162032,12,1,14.95,89,"498 4th St, Los Angeles, CA 90001"
162033,18,1,700,77,"267 Johnson St, Dallas, TX 75001"
162034,15,1,11.95,84,"104 Center St, Seattle, WA 98101"
162035,13,1,1700,66,"44 4th St, Los Angeles, CA 90001"
162036,12,1,14.95,67,"905 Spruce St, San Francisco, CA 94016"
162037,18,1,700,81,"277 Elm St, Los Angeles, CA 90001"
162037,12,1,14.95,81,"277 Elm St, Los Angeles, CA 90001"
162038,5,2,2.99,76,"53 10th St, Atlanta, GA 30301"
162039,4,1,3.84,87,"175 West St, San Francisco, CA 94016"
162040,15,1,11.95,83,"973 North St, Austin, TX 73301"
162041,6,1,150,72,"633 13th St, Austin, TX 73301"
162042,15,1,11.95,67,"661 7th St, San Francisco, CA 94016"
162043,4,1,3.84,87,"883 Walnut St, Atlanta, GA 30301"
162044,2,1,149.99,80,"469 9th St, Dallas, TX 75001"
162045,6,1,150,84,"906 Park St, New York City, NY 10001"
162046,5,2,2.99,78,"661 1st St, San Francisco, CA 94016"
162047,7,1,99.99,66,"819 9th St, Austin, TX 73301"
162048,4,1,3.84,89,"819 Main St, New York City, NY 10001"
162049,12,1,14.95,83,"307 Chestnut St, Austin, TX 73301"
162050,5,1,2.99,84,"870 Spruce St, Boston, MA 02215"
162051,5,1,2.99,70,"565 South St, Boston, MA 02215"
162052,17,1,11.99,69,"971 Washington St, Los Angeles, CA 90001"
162053,18,1,700,68,"660 7th St, Seattle, WA 98101"
162054,17,1,11.99,78,"358 5th St, San Francisco, CA 94016"
162055,4,1,3.84,87,"675 8th St, Los Angeles, CA 90001"
162056,17,1,11.99,75,"55 Adams St, San Francisco, CA 94016"
162057,17,1,11.99,88,"485 Maple St, Los Angeles, CA 90001"
162058,2,1,149.99,88,"510 Church St, New York City, NY 10001"
162059,15,1,11.95,61,"602 Willow St, Seattle, WA 98101"
162060,5,3,2.99,68,"703 Lake St, Seattle, WA 98101"
162061,17,1,11.99,59,"967 10th St, New York City, NY 10001"
162062,5,1,2.99,82,"235 Park St, Portland, OR 97035"
162063,5,2,2.99,60,"693 12th St, Austin, TX 73301"
162064,13,1,1700,63,"414 Willow St, San Francisco, CA 94016"
162065,9,1,600,60,"862 Spruce St, San Francisco, CA 94016"
162066,4,1,3.84,71,"602 Pine St, New York City, NY 10001"
162066,15,2,11.95,71,"602 Pine St, New York City, NY 10001"
162067,14,1,999.99,65,"4 Cedar St, San Francisco, CA 94016"
162068,17,1,11.99,82,"117 1st St, Austin, TX 73301"
162069,4,1,3.84,73,"853 Park St, Boston, MA 02215"
162070,2,1,149.99,73,"859 South St, Los Angeles, CA 90001"
162071,16,1,400,88,"334 Jackson St, Atlanta, GA 30301"
162071,15,1,11.95,88,"334 Jackson St, Atlanta, GA 30301"
162072,4,1,3.84,60,"945 Adams St, New York City, NY 10001"
162073,7,1,99.99,81,"573 Lakeview St, San Francisco, CA 94016"
162074,6,1,150,63,"928 Dogwood St, San Francisco, CA 94016"
162075,6,1,150,69,"456 7th St, New York City, NY 10001"
162076,17,1,11.99,62,"424 Wilson St, Dallas, TX 75001"
162077,5,1,2.99,80,"783 Johnson St, New York City, NY 10001"
162078,12,1,14.95,60,"167 North St, San Francisco, CA 94016"
162079,9,1,600,82,"144 West St, Los Angeles, CA 90001"
162080,6,1,150,82,"245 Chestnut St, Boston, MA 02215"
162081,12,1,14.95,84,"183 Dogwood St, Los Angeles, CA 90001"
162082,16,1,400,67,"401 Wilson St, New York City, NY 10001"
162082,17,1,11.99,67,"401 Wilson St, New York City, NY 10001"
162083,17,1,11.99,85,"162 Lakeview St, Atlanta, GA 30301"
162084,18,1,700,85,"585 14th St, Los Angeles, CA 90001"
162085,12,1,14.95,82,"705 Highland St, San Francisco, CA 94016"
162086,9,1,600,76,"410 Chestnut St, New York City, NY 10001"
162087,9,1,600,76,"303 Chestnut St, Boston, MA 02215"
162087,15,1,11.95,76,"303 Chestnut St, Boston, MA 02215"
162088,9,1,600,60,"231 Jackson St, Los Angeles, CA 90001"
162089,17,1,11.99,65,"692 13th St, New York City, NY 10001"
162090,7,1,99.99,70,"747 Wilson St, Austin, TX 73301"
162091,7,1,99.99,76,"926 Main St, Boston, MA 02215"
162092,8,1,300,76,"477 11th St, Seattle, WA 98101"
162092,5,1,2.99,76,"477 11th St, Seattle, WA 98101"
162093,16,1,400,77,"855 Lakeview St, Boston, MA 02215"
162094,14,1,999.99,79,"959 River St, Atlanta, GA 30301"
162095,17,1,11.99,87,"628 Lakeview St, Seattle, WA 98101"
162096,7,1,99.99,62,"323 Hill St, New York City, NY 10001"
162097,8,1,300,86,"929 Elm St, New York City, NY 10001"
162098,8,1,300,65,"84 Center St, New York City, NY 10001"
162099,15,1,11.95,61,"598 Washington St, Los Angeles, CA 90001"
162100,17,1,11.99,62,"635 Spruce St, Boston, MA 02215"
162101,13,1,1700,88,"253 11th St, Seattle, WA 98101"
162102,17,1,11.99,89,"69 Center St, New York City, NY 10001"
162103,5,1,2.99,76,"860 Main St, Portland, OR 97035"
162104,12,1,14.95,63,"572 Walnut St, New York City, NY 10001"
162105,15,1,11.95,67,"911 South St, Seattle, WA 98101"
162106,4,1,3.84,60,"484 Cedar St, Los Angeles, CA 90001"
162107,17,1,11.99,87,"260 14th St, Austin, TX 73301"
162108,15,2,11.95,84,"113 7th St, Los Angeles, CA 90001"
162109,12,1,14.95,83,"686 5th St, New York City, NY 10001"
162110,0,1,109.99,73,"705 South St, Los Angeles, CA 90001"
162111,4,3,3.84,66,"561 West St, San Francisco, CA 94016"
162112,3,1,379.99,73,"953 Spruce St, Boston, MA 02215"
162113,7,1,99.99,85,"365 Cherry St, San Francisco, CA 94016"
162114,12,1,14.95,79,"577 South St, Atlanta, GA 30301"
162115,8,1,300,84,"93 Sunset St, San Francisco, CA 94016"
162116,15,1,11.95,67,"446 Adams St, Dallas, TX 75001"
162117,17,1,11.99,69,"82 Lake St, New York City, NY 10001"
162118,18,1,700,68,"888 13th St, San Francisco, CA 94016"
162119,2,1,149.99,64,"980 2nd St, Austin, TX 73301"
162120,13,1,1700,73,"969 Washington St, Dallas, TX 75001"
162121,15,1,11.95,78,"355 Main St, Portland, OR 97035"
162122,5,1,2.99,64,"354 9th St, Seattle, WA 98101"
162123,7,1,99.99,71,"295 South St, San Francisco, CA 94016"
162124,13,1,1700,85,"8 West St, San Francisco, CA 94016"
162125,1,1,389.99,87,"987 Chestnut St, San Francisco, CA 94016"
162126,6,1,150,75,"895 Jefferson St, Los Angeles, CA 90001"
162127,13,1,1700,83,"603 12th St, San Francisco, CA 94016"
162128,15,1,11.95,81,"490 Jackson St, Seattle, WA 98101"
162129,5,1,2.99,69,"962 Church St, San Francisco, CA 94016"
162130,15,1,11.95,66,"211 Pine St, Dallas, TX 75001"
162131,15,1,11.95,68,"334 Madison St, Boston, MA 02215"
162132,4,1,3.84,73,"488 7th St, Boston, MA 02215"
162133,4,1,3.84,68,"986 6th St, Seattle, WA 98101"
162134,16,1,400,75,"186 North St, Atlanta, GA 30301"
162135,15,1,11.95,81,"112 Madison St, New York City, NY 10001"
162136,4,1,3.84,86,"708 4th St, San Francisco, CA 94016"
162137,7,1,99.99,72,"275 Elm St, New York City, NY 10001"
162138,0,1,109.99,77,"628 Forest St, Seattle, WA 98101"
162139,3,1,379.99,79,"869 9th St, New York City, NY 10001"
162140,14,1,999.99,64,"622 Meadow St, Seattle, WA 98101"
