Order ID,Product ID,Quantity Ordered,Price Each,Date,Purchase Address
261127,3,1,379.99,304,"917 Madison St, Seattle, WA 98101"
261735,7,1,99.99,304,"582 Spruce St, Atlanta, GA 30301"
262928,12,1,14.95,304,"89 4th St, New York City, NY 10001"
263162,5,1,2.99,304,"741 Dogwood St, Austin, TX 73301"
263619,6,1,150,304,"87 Sunset St, Atlanta, GA 30301"
264407,15,1,11.95,304,"455 Walnut St, Portland, OR 97035"
266135,9,1,600,304,"551 Cherry St, Dallas, TX 75001"
268081,7,1,99.99,304,"140 13th St, Atlanta, GA 30301"
268898,5,1,2.99,304,"654 12th St, New York City, NY 10001"
271951,2,1,149.99,304,"817 Highland St, Portland, OR 97035"
272957,4,1,3.84,304,"125 Sunset St, Seattle, WA 98101"
273262,8,1,300,304,"14 5th St, Portland, OR 97035"
273573,15,1,11.95,304,"288 Lake St, Boston, MA 02215"
273655,6,1,150,304,"313 Jefferson St, New York City, NY 10001"
273751,18,1,700,304,"678 4th St, San Francisco, CA 94016"
273751,6,1,150,304,"678 4th St, San Francisco, CA 94016"
273751,17,1,11.99,304,"678 4th St, San Francisco, CA 94016"
275201,5,2,2.99,304,"859 Jefferson St, New York City, NY 10001"
275546,15,2,11.95,304,"571 North St, Seattle, WA 98101"
275872,6,1,150,304,"939 South St, Los Angeles, CA 90001"
277647,1,1,389.99,304,"72 River St, Boston, MA 02215"
277939,7,1,99.99,304,"430 Elm St, Los Angeles, CA 90001"
278797,17,1,11.99,324,"46 Park St, New York City, NY 10001"
278798,15,2,11.95,320,"962 Hickory St, Austin, TX 73301"
278799,6,1,150.0,322,"464 Cherry St, Los Angeles, CA 90001"
278800,2,1,149.99,328,"649 10th St, Seattle, WA 98101"
278801,7,1,99.99,312,"522 Hill St, Boston, MA 02215"
278802,15,1,11.95,317,"154 2nd St, San Francisco, CA 94016"
278803,12,1,14.95,314,"724 5th St, San Francisco, CA 94016"
278804,7,1,99.99,318,"866 Sunset St, Austin, TX 73301"
278805,12,1,14.95,330,"670 Elm St, San Francisco, CA 94016"
278806,7,1,99.99,322,"174 2nd St, Boston, MA 02215"
278806,14,1,999.99,322,"174 2nd St, Boston, MA 02215"
278807,14,1,999.99,328,"240 Elm St, Austin, TX 73301"
278808,5,1,2.99,326,"155 Highland St, Boston, MA 02215"
278809,4,1,3.84,320,"969 13th St, Dallas, TX 75001"
278810,15,1,11.95,306,"454 Cherry St, Boston, MA 02215"
278811,17,1,11.99,309,"99 Elm St, San Francisco, CA 94016"
278811,6,1,150.0,309,"99 Elm St, San Francisco, CA 94016"
278812,6,1,150.0,320,"601 Church St, Seattle, WA 98101"
278813,13,1,1700.0,312,"131 6th St, Boston, MA 02215"
278814,4,3,3.84,319,"419 Hill St, Boston, MA 02215"
278815,12,1,14.95,321,"815 Dogwood St, New York City, NY 10001"
278816,12,1,14.95,311,"925 5th St, New York City, NY 10001"
278817,15,1,11.95,308,"503 Chestnut St, Boston, MA 02215"
278818,15,1,11.95,319,"541 Johnson St, New York City, NY 10001"
278819,18,1,700.0,307,"880 Maple St, New York City, NY 10001"
278819,6,1,150.0,307,"880 Maple St, New York City, NY 10001"
278820,15,2,11.95,320,"882 Walnut St, Portland, OR 97035"
278821,15,1,11.95,328,"327 13th St, Dallas, TX 75001"
278822,7,1,99.99,323,"816 Park St, Atlanta, GA 30301"
278823,4,1,3.84,332,"234 9th St, Boston, MA 02215"
278824,2,1,149.99,311,"677 Johnson St, Portland, OR 97035"
278825,7,1,99.99,305,"928 Wilson St, San Francisco, CA 94016"
278826,0,1,109.99,329,"532 Cedar St, Austin, TX 73301"
278827,6,1,150.0,304,"305 Highland St, San Francisco, CA 94016"
278828,3,1,379.99,315,"470 13th St, San Francisco, CA 94016"
278829,18,1,700.0,323,"977 Johnson St, Los Angeles, CA 90001"
278830,15,1,11.95,307,"651 Hill St, Boston, MA 02215"
278831,7,1,99.99,314,"607 8th St, Los Angeles, CA 90001"
