Order ID,Product ID,Quantity Ordered,Price Each,Date,Purchase Address
259358,3,1,379.99,300,"609 Cherry St, Dallas, TX 75001"
259359,1,1,389.99,300,"225 5th St, Los Angeles, CA 90001"
259360,5,2,2.99,296,"967 12th St, New York City, NY 10001"
259361,2,1,149.99,286,"628 Jefferson St, New York City, NY 10001"
259362,17,1,11.99,279,"534 14th St, Los Angeles, CA 90001"
259363,5,1,2.99,273,"976 Lake St, New York City, NY 10001"
259364,17,1,11.99,301,"874 North St, Los Angeles, CA 90001"
259365,12,1,14.95,301,"127 12th St, Los Angeles, CA 90001"
259366,6,1,150.0,292,"955 9th St, Los Angeles, CA 90001"
259367,6,1,150.0,288,"742 14th St, San Francisco, CA 94016"
259368,2,1,149.99,285,"960 Ridge St, Boston, MA 02215"
259369,15,1,11.95,298,"538 Johnson St, Portland, OR 97035"
259370,0,1,109.99,300,"528 Forest St, San Francisco, CA 94016"
259371,18,1,700.0,298,"306 Main St, Los Angeles, CA 90001"
259372,17,1,11.99,289,"434 Madison St, San Francisco, CA 94016"
259373,2,1,149.99,303,"924 Church St, San Francisco, CA 94016"
259374,6,1,150.0,289,"784 6th St, Los Angeles, CA 90001"
259375,15,1,11.95,282,"557 Forest St, San Francisco, CA 94016"
259376,2,1,149.99,284,"218 14th St, San Francisco, CA 94016"
259377,7,1,99.99,295,"88 Main St, Boston, MA 02215"
259378,12,1,14.95,290,"997 1st St, Boston, MA 02215"
259379,1,1,389.99,281,"148 Lincoln St, San Francisco, CA 94016"
259380,6,1,150.0,291,"424 North St, San Francisco, CA 94016"
259381,14,1,999.99,297,"887 12th St, New York City, NY 10001"
259382,17,1,11.99,290,"605 Ridge St, New York City, NY 10001"
259383,6,1,150.0,285,"597 6th St, Los Angeles, CA 90001"
259384,14,1,999.99,301,"383 Cedar St, Dallas, TX 75001"
259385,12,1,14.95,300,"892 1st St, Los Angeles, CA 90001"
259386,12,1,14.95,288,"966 Hickory St, Los Angeles, CA 90001"
259387,7,1,99.99,273,"695 6th St, New York City, NY 10001"
