Order ID,Product ID,Quantity Ordered,Price Each,Date,Purchase Address
248151,4,4,3.84,259,"380 North St, Los Angeles, CA 90001"
248152,15,2,11.95,271,"511 8th St, Austin, TX 73301"
248153,15,1,11.95,258,"151 Johnson St, Los Angeles, CA 90001"
248154,2,1,149.99,269,"355 Hickory St, Seattle, WA 98101"
248155,15,1,11.95,243,"125 5th St, Atlanta, GA 30301"
248156,3,1,379.99,255,"469 12th St, Los Angeles, CA 90001"
248157,12,1,14.95,249,"773 Johnson St, Portland, ME 04101"
248158,12,1,14.95,244,"682 Sunset St, Los Angeles, CA 90001"
248159,16,1,400.0,248,"664 Wilson St, New York City, NY 10001"
248160,17,1,11.99,243,"446 9th St, San Francisco, CA 94016"
248161,15,1,11.95,266,"439 Spruce St, San Francisco, CA 94016"
248162,5,3,2.99,256,"439 Walnut St, Seattle, WA 98101"
248163,15,1,11.95,267,"41 North St, Portland, OR 97035"
248164,2,1,149.99,254,"88 9th St, San Francisco, CA 94016"
248165,12,1,14.95,257,"585 Adams St, Atlanta, GA 30301"
248166,6,1,150.0,246,"21 9th St, Boston, MA 02215"
248167,9,1,600.0,244,"711 Forest St, San Francisco, CA 94016"
248168,15,1,11.95,272,"219 Hickory St, San Francisco, CA 94016"
248169,0,1,109.99,266,"140 Ridge St, San Francisco, CA 94016"
248170,5,1,2.99,246,"857 Main St, Boston, MA 02215"
248171,15,1,11.95,247,"705 Hill St, New York City, NY 10001"
248171,15,1,11.95,247,"705 Hill St, New York City, NY 10001"
248172,17,1,11.99,255,"820 Hill St, Boston, MA 02215"
248173,6,1,150.0,256,"789 Lake St, Atlanta, GA 30301"
248174,7,1,99.99,259,"385 Washington St, Dallas, TX 75001"
248175,18,1,700.0,250,"736 4th St, Austin, TX 73301"
248176,4,2,3.84,254,"177 Sunset St, San Francisco, CA 94016"
248177,15,1,11.95,266,"452 Adams St, San Francisco, CA 94016"
248178,6,1,150.0,245,"725 Jefferson St, Los Angeles, CA 90001"
248179,2,1,149.99,255,"510 Hickory St, New York City, NY 10001"
248180,15,1,11.95,270,"99 Ridge St, New York City, NY 10001"
248181,6,1,150.0,250,"81 Spruce St, New York City, NY 10001"
248182,6,1,150.0,257,"950 West St, New York City, NY 10001"
248183,3,1,379.99,260,"968 Ridge St, San Francisco, CA 94016"
248184,4,1,3.84,249,"948 Main St, New York City, NY 10001"
248185,3,1,379.99,259,"967 Center St, New York City, NY 10001"
248186,15,1,11.95,247,"318 Cherry St, Seattle, WA 98101"
248187,5,3,2.99,249,"173 Elm St, Los Angeles, CA 90001"
248188,6,1,150.0,250,"136 12th St, San Francisco, CA 94016"
248189,9,1,600.0,256,"726 8th St, San Francisco, CA 94016"
248190,7,1,99.99,266,"350 Lincoln St, New York City, NY 10001"
248191,5,1,2.99,264,"446 2nd St, San Francisco, CA 94016"
248192,5,2,2.99,263,"444 North St, Austin, TX 73301"
248193,15,1,11.95,247,"867 Hill St, San Francisco, CA 94016"
248194,0,1,109.99,271,"519 Cherry St, Dallas, TX 75001"
248195,14,1,999.99,252,"631 6th St, Dallas, TX 75001"
248196,12,1,14.95,271,"608 Spruce St, Dallas, TX 75001"
248197,6,1,150.0,244,"339 Highland St, Portland, OR 97035"
248198,5,1,2.99,252,"200 Wilson St, Portland, OR 97035"
248199,9,1,600.0,253,"780 4th St, Boston, MA 02215"
248200,12,1,14.95,270,"208 Main St, Atlanta, GA 30301"
248201,7,1,99.99,268,"606 North St, New York City, NY 10001"
248202,2,1,149.99,270,"392 10th St, Los Angeles, CA 90001"
248203,6,1,150.0,263,"732 Park St, New York City, NY 10001"
248204,13,1,1700.0,244,"940 Madison St, Seattle, WA 98101"
248205,4,3,3.84,248,"353 Lake St, Atlanta, GA 30301"
248206,5,1,2.99,272,"414 7th St, San Francisco, CA 94016"
248207,8,1,300.0,247,"636 13th St, Los Angeles, CA 90001"
248208,13,1,1700.0,253,"22 7th St, Portland, ME 04101"
248209,6,1,150.0,256,"477 Church St, San Francisco, CA 94016"
248210,18,1,700.0,269,"292 Washington St, San Francisco, CA 94016"
248210,12,1,14.95,269,"292 Washington St, San Francisco, CA 94016"
248211,4,1,3.84,268,"602 4th St, San Francisco, CA 94016"
248212,15,3,11.95,262,"244 Jefferson St, Boston, MA 02215"
248213,1,1,389.99,264,"852 Dogwood St, Los Angeles, CA 90001"
248214,12,1,14.95,258,"213 West St, San Francisco, CA 94016"
248215,3,1,379.99,266,"876 Maple St, San Francisco, CA 94016"
248216,5,1,2.99,261,"394 Madison St, San Francisco, CA 94016"
248217,6,1,150.0,271,"539 Forest St, Boston, MA 02215"
248218,4,1,3.84,258,"258 Forest St, New York City, NY 10001"
248219,7,1,99.99,266,"665 Maple St, Los Angeles, CA 90001"
248219,9,1,600.0,266,"665 Maple St, Los Angeles, CA 90001"
248220,12,2,14.95,260,"751 Johnson St, San Francisco, CA 94016"
248221,4,1,3.84,250,"425 4th St, Los Angeles, CA 90001"
248222,12,1,14.95,264,"139 Ridge St, San Francisco, CA 94016"
248223,0,1,109.99,249,"350 11th St, Seattle, WA 98101"
248224,5,2,2.99,266,"523 Wilson St, New York City, NY 10001"
248225,12,1,14.95,272,"414 12th St, San Francisco, CA 94016"
248226,17,1,11.99,265,"316 10th St, Boston, MA 02215"
248227,12,1,14.95,249,"182 Hickory St, Austin, TX 73301"
248228,12,1,14.95,268,"956 Sunset St, Boston, MA 02215"
248229,17,1,11.99,250,"191 Spruce St, San Francisco, CA 94016"
248230,4,1,3.84,256,"939 1st St, San Francisco, CA 94016"
248231,8,1,300.0,262,"753 2nd St, Los Angeles, CA 90001"
248232,12,1,14.95,253,"339 Willow St, Los Angeles, CA 90001"
248233,5,1,2.99,270,"192 Jackson St, Dallas, TX 75001"
248234,3,1,379.99,247,"855 Forest St, San Francisco, CA 94016"
248235,12,1,14.95,268,"374 Cherry St, San Francisco, CA 94016"
248236,12,1,14.95,255,"429 Wilson St, Boston, MA 02215"
248237,17,1,11.99,265,"255 9th St, New York City, NY 10001"
248238,17,1,11.99,246,"741 11th St, Los Angeles, CA 90001"
248239,17,1,11.99,255,"276 11th St, Los Angeles, CA 90001"
248240,5,1,2.99,270,"823 Meadow St, San Francisco, CA 94016"
248241,4,2,3.84,264,"210 Maple St, Seattle, WA 98101"
248242,12,2,14.95,255,"832 Johnson St, San Francisco, CA 94016"
248243,15,1,11.95,246,"522 12th St, San Francisco, CA 94016"
